title,addr1,addr2,full_address,areacode,sigungucode,mapx,mapy,theme,overview,tel,firstimage,contentid
갈모봉 힐링스테이,경상남도 고성군 고성읍 이당5길 149-21,,경상남도 고성군 고성읍 이당5길 149-21,,,128.267758542966,34.9757697553601,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,,2579457
갈천힐링캠프,강원특별자치도 양양군 구룡령로 1103-41,,강원특별자치도 양양군 구룡령로 1103-41,32,7,128.5049306436,37.9073458372,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,http://tong.visitkorea.or.kr/cms/resource/31/2908131_image2_1.JPG,2908152
강원도 태백시 힐링여행 코스,,,,,,129.0466191607,37.1802466229,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,,1968948
강원도힐링캠핑장,강원특별자치도 원주시 신림면 재사동길 10-38,,강원특별자치도 원주시 신림면 재사동길 10-38,32,9,128.1577984696,37.2457102234,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,http://tong.visitkorea.or.kr/cms/resource/98/2733998_image2_1.JPG,2734136
거북이가 앉아있는 좌구산에서의 힐링여행,,,,,,127.5473990477,36.8045441352,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,,1886535
거창 항노화힐링랜드,경상남도 거창군 가조면 의상봉길 834,,경상남도 거창군 가조면 의상봉길 834,,,128.04090441864636,35.736709673420194,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,https://tong.visitkorea.or.kr/cms/resource/53/4008253_image2_1.jpg,2756141
경주힐링캠프,경상북도 경주시 산내면 장사길 418-55,,경상북도 경주시 산내면 장사길 418-55,35,2,129.0410500007,35.8164315488,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,http://tong.visitkorea.or.kr/cms/resource/07/2727007_image2_1.jpg,2726694
"고성, 시원하게 통일 ‘막국수’ 힐링 여행",,,,,,128.4370296526,38.4658673023,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,,2569741
구이 안덕 건강힐링체험마을,전북특별자치도 완주군 구이면 장파길 72,,전북특별자치도 완주군 구이면 장파길 72,,,127.099816433198,35.6955470422064,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,https://tong.visitkorea.or.kr/cms/resource/00/3510200_image2_1.jpg,1977631
국민힐링파크,경상북도 경주시 문복로 1280-8,,경상북도 경주시 문복로 1280-8,35,2,129.0618780850,35.7408238073,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,,2941029
금대 에코힐링 캠핑장,강원특별자치도 원주시 판부면 영원산성길 372,,강원특별자치도 원주시 판부면 영원산성길 372,32,9,128.0183263014,37.2933993402,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,http://tong.visitkorea.or.kr/cms/resource/95/2011295_image2_1.jpg,2033279
금오산 에코 힐링숲,경상북도 구미시 금오산로 341 (남통동),,경상북도 구미시 금오산로 341 (남통동),,,128.31624843363,36.1132169389283,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,,4039373
기장 앞바다를 보며 힐링,,,,,,129.2308257220,35.2244693193,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,,1922520
남해 힐링국민여가캠핑장,경상남도 남해군 이동면 성남로 79-14,,경상남도 남해군 이동면 성남로 79-14,,,127.9509474520,34.7780051372,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,https://tong.visitkorea.or.kr/cms/resource/03/4078103_image2_1.jpg,2909246
"낯설지만 익숙한, 세종시의 숨겨진 힐링 포인트",,,,,,127.2091880717,36.6720151286,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,,2402720
내린천솔밭힐링캠핑장,강원특별자치도 인제군 상남면 가산동길 25,,강원특별자치도 인제군 상남면 가산동길 25,,,128.2911135262,37.9103885119,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,https://tong.visitkorea.or.kr/cms/resource/28/2762228_image2_1.JPG,2761768
내소힐링캠프,전북특별자치도 부안군 진서면 원암길 49-6,,전북특별자치도 부안군 진서면 원암길 49-6,37,6,126.5827312563,35.6102000587,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,http://tong.visitkorea.or.kr/cms/resource/62/2728762_image2_1.jpg,2728571
누나서프(힐링로드),경상북도 포항시 북구 청하면 해안로2308번길 67,,경상북도 포항시 북구 청하면 해안로2308번길 67,35,23,129.3708682666,36.2030273973,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,http://tong.visitkorea.or.kr/cms/resource/70/3411070_image2_1.jpg,2770645
뉴힐링캠프,경기도 포천시 이동면 금강로 6135-19,,경기도 포천시 이동면 금강로 6135-19,31,29,127.3888243865,38.0754218864,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,http://tong.visitkorea.or.kr/cms/resource/42/2734742_image2_1.JPG,2734033
"늙은 소나무가 들려주는 삶의 지혜, 울진에서 힐링해 보자",,,,,,129.2703869052,36.9916653843,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,,1948716
달궁힐링야영장,전북특별자치도 남원시 산내면 덕동리 287-3,,전북특별자치도 남원시 산내면 덕동리 287-3,37,4,127.5555488451,35.3519848942,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,http://tong.visitkorea.or.kr/cms/resource/29/2750129_image2_1.jpg,2749861
담양힐링파크,전라남도 담양군 봉산면 탄금길 9-26,,전라남도 담양군 봉산면 탄금길 9-26,38,7,126.9609673343,35.2714781967,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,http://tong.visitkorea.or.kr/cms/resource/99/2726999_image2_1.jpg,2726659
대덕힐링캠핑장,전라남도 영광군 법성면 대덕길2길 105,,전라남도 영광군 법성면 대덕길2길 105,38,16,126.4505884209,35.3499357301,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,http://tong.visitkorea.or.kr/cms/resource/51/2748151_image2_1.jpg,2747474
대파니힐링팜,전북특별자치도 익산시 삼기면 미륵산1길 102,,전북특별자치도 익산시 삼기면 미륵산1길 102,,,127.02169719637061,36.03276428788531,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,https://tong.visitkorea.or.kr/cms/resource/45/3026045_image2_1.JPG,3026066
더블힐링펜션,전북특별자치도 부안군 변산면 변산해변로 799-47,더블힐링펜션 4층,전북특별자치도 부안군 변산면 변산해변로 799-47 더블힐링펜션 4층,37,6,126.5161746257,35.6677507252,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,http://tong.visitkorea.or.kr/cms/resource/27/2568227_image2_1.jpg,2570435
더스테이힐링파크,경기도 가평군 설악면 한서로268번길 157,,경기도 가평군 설악면 한서로268번길 157,31,1,127.5239158795,37.6613503648,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,http://tong.visitkorea.or.kr/cms/resource/81/3079581_image2_1.JPG,3079601
더힐링타임,제주특별자치도 제주시 서해안로 652 (용담삼동),,제주특별자치도 제주시 서해안로 652 (용담삼동),,,126.506458568504,33.515923124308,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,https://tong.visitkorea.or.kr/cms/resource/32/3038432_image2_1.jpg,3038449
더힐링펜션,강원특별자치도 평창군 봉평면 흥정계곡길 408,,강원특별자치도 평창군 봉평면 흥정계곡길 408,32,15,128.3312071385,37.6437230668,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,http://tong.visitkorea.or.kr/cms/resource/53/2801553_image2_1.jpg,2801576
"도자기와 쌀, 온천을 모두 만나는 건강힐링여행",,,,,,127.4351061199,37.3271315961,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,,1869579
동화힐링캠프,경기도 파주시 파평면 파평산로363번길 32-9,,경기도 파주시 파평면 파평산로363번길 32-9,,,126.84108401253,37.8922217509343,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,,3033376
레인보우힐링센터,충청북도 영동군 영동읍 영동힐링로 95,레인보우힐링센터,충청북도 영동군 영동읍 영동힐링로 95 레인보우힐링센터,,,127.7855389063,36.1569345584,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,https://tong.visitkorea.or.kr/cms/resource/31/4097131_image2_1.jpg,3346305
마검포힐링캠핑촌,충청남도 태안군 남면 마검포길 313-30,,충청남도 태안군 남면 마검포길 313-30,34,14,126.2908373002,36.6095279604,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,http://tong.visitkorea.or.kr/cms/resource/18/2728118_image2_1.jpg,2727360
마이산힐링하우스 앤 카페,전북특별자치도 진안군 진안읍 마이산로 228-10,,전북특별자치도 진안군 진안읍 마이산로 228-10,,,127.411937296492,35.7682144765567,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,https://tong.visitkorea.or.kr/cms/resource/94/4058194_image2_1.jpg,4058200
모둘자리 힐링체험마을,강원특별자치도 홍천군 서석면 검산길 147-19,(서석면),강원특별자치도 홍천군 서석면 검산길 147-19 (서석면),32,16,128.2305364120,37.7119160343,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,http://tong.visitkorea.or.kr/cms/resource/31/2598431_image2_1.bmp,128029
몽산포힐링캠핑장,충청남도 태안군 남면 몽산포길 63-13,,충청남도 태안군 남면 몽산포길 63-13,,,126.2902679674,36.6708337079,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,https://tong.visitkorea.or.kr/cms/resource/70/3083670_image2_1.JPG,3083676
무릉계곡힐링캠핑장,강원특별자치도 동해시 삼화로 467,,강원특별자치도 동해시 삼화로 467,,,129.0265539932,37.4643952559,힐링/명상,[힐링/명상] 한국관광공사 등록 웰니스/힐링 관광지 (힐링),,https://tong.visitkorea.or.kr/cms/resource/05/3048405_image2_1.jpg,1971306
